"aou","year","bcr","n_diverg","rhat_high","mcse_high","n_eff_low","n_routes","n_bcr","gamma_mean","gamma_se"
"02610",2010,10,2,0,0,0,360,9,0.370837236153344,0.290930511291978
"02610",2010,11,2,0,0,0,360,9,0.0105370323231969,0.0305430081291492
"02610",2010,12,2,0,0,0,360,9,0.0280719744671476,0.0838891997573168
"02610",2010,17,2,0,0,0,360,9,0.00255036055524666,0.0273758054875157
"02610",2010,18,2,0,0,0,360,9,-0.0353303420843485,0.0577207967826762
"02610",2010,19,2,0,0,0,360,9,0.0213639191081109,0.0203008251172768
"02610",2010,22,2,0,0,0,360,9,0.0576041835358378,0.0216880398831738
"02610",2010,23,2,0,0,0,360,9,-0.101791374879822,0.103446840058157
"02610",2010,24,2,0,0,0,360,9,-0.230665479172241,0.22912110791974
"02640",2010,9,0,0,0,0,223,9,-0.0311572196731934,0.0258594864819126
"02640",2010,10,0,0,0,0,223,9,-0.0382879748688601,0.0609283679992354
"02640",2010,11,0,0,0,0,223,9,-0.0213423168241685,0.0870427377274741
"02640",2010,16,0,0,0,0,223,9,0.0959842715365225,0.177794227907493
"02640",2010,17,0,0,0,0,223,9,0.0503378693119666,0.0697701703564626
"02640",2010,18,0,0,0,0,223,9,-0.0315706425571952,0.0331791158679504
"02640",2010,19,0,0,0,0,223,9,-0.0131446104832906,0.12957598695938
"02640",2010,36,0,0,0,0,223,9,0.0322710069469485,0.502614484927471
"02640",2010,37,0,0,0,0,223,9,0.0845439591805231,0.166896695805631
"02730",2010,5,0,0,0,0,2439,30,0.00515864644437487,0.0210801015132963
"02730",2010,9,0,0,0,0,2439,30,-0.00199262214721293,0.00891814248387193
"02730",2010,10,0,0,0,0,2439,30,0.024931617404589,0.0200958679354941
"02730",2010,11,0,0,0,0,2439,30,-0.00263562685489228,0.0169756717460605
"02730",2010,12,0,0,0,0,2439,30,0.00834346706404985,0.0193480645007711
"02730",2010,13,0,0,0,0,2439,30,0.0239640354613423,0.026185191776758
"02730",2010,14,0,0,0,0,2439,30,-0.0958428163461698,0.0712739056623289
"02730",2010,15,0,0,0,0,2439,30,-0.079189525270106,0.209110899609104
"02730",2010,16,0,0,0,0,2439,30,0.00121928794416184,0.0512466531309783
"02730",2010,17,0,0,0,0,2439,30,0.050300271928892,0.0167706931590481
"02730",2010,18,0,0,0,0,2439,30,-0.00933518702269088,0.0107581366442629
"02730",2010,19,0,0,0,0,2439,30,-0.000926841887726875,0.0122458874341552
"02730",2010,20,0,0,0,0,2439,30,0.186590222250297,0.126321707670437
"02730",2010,21,0,0,0,0,2439,30,-0.0282688753421297,0.0266154050521165
"02730",2010,22,0,0,0,0,2439,30,0.0222861865630583,0.00956669937742452
"02730",2010,23,0,0,0,0,2439,30,0.0413299130784692,0.0217279547818279
"02730",2010,24,0,0,0,0,2439,30,0.00299856335929052,0.0107819607616785
"02730",2010,25,0,0,0,0,2439,30,-0.0254968226324028,0.0366084868535859
"02730",2010,26,0,0,0,0,2439,30,0.0228160704642331,0.0194837303538028
"02730",2010,27,0,0,0,0,2439,30,-0.00714366535581715,0.0140287754920904
"02730",2010,28,0,0,0,0,2439,30,-0.00129007135358054,0.0147625285953532
"02730",2010,29,0,0,0,0,2439,30,-0.0352884770548938,0.0174862703756726
"02730",2010,30,0,0,0,0,2439,30,-0.0146864281708456,0.0195982722096701
"02730",2010,31,0,0,0,0,2439,30,0.0255468358625528,0.0270856964760077
"02730",2010,32,0,0,0,0,2439,30,0.00956491652835857,0.014919460205526
"02730",2010,33,0,0,0,0,2439,30,-0.0153391633696075,0.044884895893614
