BCR,BCRName,bcr_short
1,Aleutian/Bering Sea Islands,Aleutian/Bering Sea Islands
2,Western Alaska,Western Alaska
3,Arctic Plains And Mountains,Arctic Plains And Mountains
4,Northwestern Interior Forest,N.W. Interior Forest
5,Northern Pacific Rainforest,N. Pacific Rainforest
6,Boreal Taiga Plains,Boreal Taiga Plains
7,Taiga Shield And Hudson Plains,Taiga Shield And Hudson Plains
8,Boreal Softwood Shield,Boreal Softwood Shield
9,Great Basin,Great Basin
10,Northern Rockies,Northern Rockies
11,Prairie Potholes,Prairie Potholes
12,Boreal Hardwood Transition,Boreal Hardwood Tr.
13,Lower Great Lakes/St. Lawrence,Lower Great Lakes
14,Atlantic Northern Forest,Atlantic N. Forest
15,Sierra Nevada,Sierra Nevada
16,Southern Rockies/Colorado Plate,Southern Rockies
17,Badlands And Prairies,Badlands and Prairies
18,Shortgrass Prairie,Shortgrass Prairie
19,Central Mixed Grass Prairie,Central Mixed Prairie
20,Edwards Plateau,Edwards Plateau
21,Oaks And Prairies,Oaks and Prairies
22,Eastern Tallgrass Prairie,E. Tallgrass Prairie
23,Prairie Hardwood Transition,Prairie Hardwood Tr.
24,Central Hardwoods,Central Hardwoods
25,West Gulf Coastal Plain/Ouachit,W. Gulf Coastal Plain
26,Mississippi Alluvial Valley,Mississippi Valley
27,Southeastern Coastal Plain,S.E. Coastal Plain
28,Appalachian Mountains,Appalachian Mountains
29,Piedmont,Piedmont
30,New England/Mid-Atlantic Coast,New England
31,Peninsular Florida,Peninsular Florida
32,Coastal California,Coastal California
33,Sonoran And Mojave Deserts,Sonoran/Mojave Deserts
34,Sierra Madre Occidental,Sierra Madre Occidental
35,Chihuahuan Desert,Chihuahuan Desert
36,Tamaulipan Brushlands,Tamaulipan Brushlands
37,Gulf Coastal Prairie,Gulf Coastal Prairie
38,Islas Marias,Islas Marias
39,Sierras de Baja California,Sierras de Baja California
40,Desierto do Baja California,Desierto do Baja California
41,Islas del Golfo de California,Islas del Golfo de California
42,Sierra y Planicies de El Cabo,Sierra y Planicies de El Cabo
43,"Planicie Costera, LomerÍos y Ca","Planicie Costera, LomerÍos y Ca"
44,Marismas Nacionales,Marismas Nacionales
45,Planicie Costera y LomerÍos del,Planicie Costera y LomerÍos del
46,Sur del Altiplano Mexicano,Sur del Altiplano Mexicano
47,Eje Neovolcˆnico Transversal,Eje Neovolcˆnico Transversal
48,Sierra Madre Oriental,Sierra Madre Oriental
49,Planicie Costera y LomerÍos Sec,Planicie Costera y LomerÍos Sec
50,Cuenca del RÍo Balsas,Cuenca del RÍo Balsas
51,Valle de Tehuacˆn-Cuicatlˆn,Valle de Tehuacˆn-Cuicatlˆn
52,Planicie Costera y LomerÍos Hìm,Planicie Costera y LomerÍos Hìm
53,Sierra Madre del Sur,Sierra Madre del Sur
54,Sierra Norte de Puebla-Oaxaca,Sierra Norte de Puebla-Oaxaca
55,Planicie Noroccidental de Yucat,Planicie Noroccidental de Yucat
56,Planicie de la PenÍnsula de Yuc,Planicie de la PenÍnsula de Yuc
57,Isla Cozumel,Isla Cozumel
58,Altos de Chiapas,Altos de Chiapas
59,Depresiones Intermontanas,Depresiones Intermontanas
60,Sierra Madre de Chiapas,Sierra Madre de Chiapas
61,Planicie Costera del Soconusco,Planicie Costera del Soconusco
62,Archipi_lago de Revillagigedo,Archipi_lago de Revillagigedo
63,Isla Guadalupe,Isla Guadalupe
64,Arrecife Alacranes,Arrecife Alacranes
65,Los Tuxtlas,Los Tuxtlas
66,Pantanos de Centla-Laguna de T_,Pantanos de Centla-Laguna de T_
67,Hawaii,Hawaii
