country,compound,year,kg
Netherlands,ACETAMIPRID,2000,0
Netherlands,ACETAMIPRID,2004,0
Netherlands,ACETAMIPRID,2008,240
Netherlands,ACETAMIPRID,2012,1912
Netherlands,CLOTHIANIDIN,2000,NA
Netherlands,CLOTHIANIDIN,2004,NA
Netherlands,CLOTHIANIDIN,2008,NA
Netherlands,CLOTHIANIDIN,2012,NA
Netherlands,IMIDACLOPRID,2000,5968
Netherlands,IMIDACLOPRID,2004,7074
Netherlands,IMIDACLOPRID,2008,7386
Netherlands,IMIDACLOPRID,2012,3473
Netherlands,THIACLOPRID,2000,0
Netherlands,THIACLOPRID,2004,320
Netherlands,THIACLOPRID,2008,7954
Netherlands,THIACLOPRID,2012,11654
Netherlands,THAMETHOXAM,2000,0
Netherlands,THAMETHOXAM,2004,0
Netherlands,THAMETHOXAM,2008,1096
Netherlands,THAMETHOXAM,2012,2152
