"route_uniq","quad_poly_id"
"C840S02R001",305
"C840S02R002",305
"C840S02R003",305
"C840S02R004",330
"C840S02R005",330
"C840S02R006",305
"C840S02R007",306
"C840S02R008",331
"C840S02R009",306
"C840S02R010",331
"C840S02R011",331
"C840S02R012",331
"C840S02R013",331
"C840S02R014",330
"C840S02R015",330
"C840S02R016",330
"C840S02R017",330
"C840S02R018",330
"C840S02R019",329
"C840S02R020",351
"C840S02R021",352
"C840S02R022",352
"C840S02R023",352
"C840S02R024",353
"C840S02R025",352
"C840S02R026",353
"C840S02R027",353
"C840S02R028",331
"C840S02R029",354
"C840S02R030",369
"C840S02R031",370
"C840S02R032",353
"C840S02R033",353
"C840S02R034",369
"C840S02R035",368
"C840S02R036",352
"C840S02R037",368
"C840S02R038",368
"C840S02R039",368
"C840S02R040",384
"C840S02R041",384
"C840S02R042",368
"C840S02R043",330
"C840S02R044",330
"C840S02R045",330
"C840S02R046",305
"C840S02R047",330
"C840S02R048",352
"C840S02R049",352
"C840S02R050",352
"C840S02R051",353
"C840S02R052",367
"C840S02R053",352
"C840S02R054",369
"C840S02R055",353
"C840S02R056",331
"C840S02R057",305
"C840S02R058",306
"C840S02R059",330
"C840S02R060",330
"C840S02R061",331
"C840S02R062",331
"C840S02R063",352
"C840S02R064",353
"C840S02R065",353
"C840S02R066",368
"C840S02R067",369
"C840S02R068",369
"C840S02R069",368
"C840S02R070",384
"C840S02R071",305
"C840S02R072",305
"C840S02R073",306
"C840S02R102",305
"C840S02R105",330
"C840S02R109",306
"C840S02R111",331
"C840S02R137",368
"C840S02R140",384
"C840S02R141",384
"C840S02R142",368
"C840S02R156",331
"C840S02R162",331
"C840S02R164",353
"C840S02R201",330
"C840S02R203",305
"C840S02R204",306
"C840S02R205",329
"C840S02R206",330
"C840S02R207",331
"C840S02R208",331
"C840S02R209",331
"C840S02R210",352
"C840S02R211",353
"C840S02R212",353
"C840S02R213",368
"C840S02R214",352
"C840S02R215",353
"C840S02R216",353
"C840S02R217",368
"C840S02R218",368
"C840S02R306",330
"C840S02R750",305
"C840S02R751",331
"C840S02R752",352
"C840S02R753",368
"C840S02R754",368
"C840S02R900",305
"C840S02R901",304
"C840S06R001",235
"C840S06R002",236
"C840S06R003",265
"C840S06R004",237
"C840S06R005",266
"C840S06R006",263
"C840S06R007",263
"C840S06R008",264
"C840S06R009",264
"C840S06R010",265
"C840S06R011",266
"C840S06R012",263
"C840S06R013",263
"C840S06R014",290
"C840S06R015",290
"C840S06R016",291
"C840S06R017",291
"C840S06R018",289
"C840S06R019",289
"C840S06R020",290
"C840S06R021",315
"C840S06R022",291
"C840S06R023",317
"C840S06R024",313
"C840S06R025",314
"C840S06R026",314
"C840S06R027",315
"C840S06R028",338
"C840S06R029",338
"C840S06R030",336
"C840S06R031",337
"C840S06R032",337
"C840S06R033",338
"C840S06R051",236
"C840S06R052",236
"C840S06R053",237
"C840S06R054",265
"C840S06R055",266
"C840S06R056",263
"C840S06R057",263
"C840S06R058",264
"C840S06R059",264
"C840S06R060",265
"C840S06R061",265
"C840S06R063",289
"C840S06R064",290
"C840S06R065",291
"C840S06R066",291
"C840S06R067",291
"C840S06R068",288
"C840S06R069",314
"C840S06R070",314
"C840S06R071",290
"C840S06R072",316
"C840S06R073",317
"C840S06R074",313
"C840S06R076",315
"C840S06R077",315
"C840S06R078",316
"C840S06R079",316
"C840S06R080",314
"C840S06R081",337
"C840S06R082",337
"C840S06R083",338
"C840S06R101",235
"C840S06R103",237
"C840S06R105",266
"C840S06R106",263
"C840S06R107",263
"C840S06R108",264
"C840S06R115",290
"C840S06R116",291
"C840S06R119",289
"C840S06R121",315
"C840S06R122",316
"C840S06R123",317
"C840S06R126",314
"C840S06R127",315
"C840S06R130",336
"C840S06R133",338
"C840S06R161",266
"C840S06R170",314
"C840S06R172",316
"C840S06R176",314
"C840S06R177",315
"C840S06R206",263
"C840S06R219",289
"C840S06R233",338
"C840S06R900",338
"C840S06R901",338
"C840S07R001",327
"C840S07R002",350
"C840S07R003",327
"C840S07R004",327
"C840S07R005",326
"C840S07R006",326
"C840S07R007",326
"C840S07R008",303
"C840S07R009",302
"C840S07R010",327
"C840S07R011",327
"C840S07R012",327
"C840S07R013",326
"C840S07R014",301
"C840S07R015",301
"C840S07R016",303
"C840S07R017",303
"C840S07R018",302
"C840S07R019",302
"C840S07R020",302
"C840S07R021",302
"C840S07R022",301
"C840S07R023",301
"C840S07R024",301
"C840S07R025",277
"C840S07R026",276
"C840S07R027",276
"C840S07R028",275
"C840S07R029",275
"C840S07R030",275
"C840S07R031",275
"C840S07R032",276
"C840S07R033",277
"C840S07R034",277
"C840S07R035",277
"C840S07R036",303
"C840S07R037",302
"C840S07R038",302
"C840S07R039",301
"C840S07R040",326
"C840S07R041",301
"C840S07R042",327
"C840S07R043",327
"C840S07R045",326
"C840S07R046",348
"C840S07R047",327
"C840S07R048",328
"C840S07R049",301
"C840S07R102",350
"C840S07R103",327
"C840S07R109",302
"C840S07R111",302
"C840S07R112",327
"C840S07R114",301
"C840S07R117",303
"C840S07R118",302
"C840S07R900",301
"C840S07R901",301
"C840S07R902",301
"C840S07R903",327
"C840S07R904",303
"C840S14R001",84
"C840S14R002",114
"C840S14R003",115
"C840S14R004",83
"C840S14R005",113
"C840S14R006",113
"C840S14R007",114
"C840S14R008",115
"C840S14R009",115
"C840S14R010",144
"C840S14R011",145
"C840S14R012",145
"C840S14R013",146
"C840S14R014",144
"C840S14R015",145
"C840S14R016",174
"C840S14R017",175
"C840S14R018",175
"C840S14R019",173
"C840S14R020",174
"C840S14R021",174
"C840S14R022",204
"C840S14R023",205
"C840S14R024",204
"C840S14R025",203
"C840S14R026",203
"C840S14R027",204
"C840S14R028",232
"C840S14R029",233
"C840S14R030",233
"C840S14R031",233
"C840S14R032",231
"C840S14R033",232
"C840S14R034",233
"C840S14R035",261
"C840S14R036",261
"C840S14R037",262
"C840S14R038",259
"C840S14R039",260
"C840S14R040",260
"C840S14R041",261
"C840S14R042",260
"C840S14R043",262
"C840S14R044",289
"C840S14R045",286
"C840S14R046",287
"C840S14R047",287
"C840S14R048",313
"C840S14R049",288
"C840S14R050",312
"C840S14R051",287
"C840S14R052",203
"C840S14R053",203
"C840S14R054",204
"C840S14R055",232
"C840S14R056",233
"C840S14R057",231
"C840S14R058",205
"C840S14R059",233
"C840S14R060",261
"C840S14R061",261
"C840S14R062",262
"C840S14R063",233
"C840S14R064",234
"C840S14R065",262
"C840S14R066",261
"C840S14R067",262
"C840S14R068",262
"C840S14R069",288
"C840S14R070",288
"C840S14R071",173
"C840S14R072",145
"C840S14R073",115
"C840S14R074",83
"C840S14R075",113
"C840S14R076",115
"C840S14R077",114
"C840S14R078",146
"C840S14R079",145
"C840S14R080",145
"C840S14R081",144
"C840S14R082",175
"C840S14R083",173
"C840S14R084",205
"C840S14R085",261
"C840S14R086",289
"C840S14R087",262
"C840S14R088",288
"C840S14R089",288
"C840S14R090",288
"C840S14R091",287
"C840S14R092",313
"C840S14R093",313
"C840S14R094",261
"C840S14R095",175
"C840S14R096",175
"C840S14R097",114
"C840S14R098",174
"C840S14R099",286
"C840S14R100",288
"C840S14R103",260
"C840S14R104",260
"C840S14R105",287
"C840S14R106",287
"C840S14R107",287
"C840S14R108",203
"C840S14R109",262
"C840S14R110",232
"C840S14R111",261
"C840S14R112",260
"C840S14R113",287
"C840S14R114",259
"C840S14R116",233
"C840S14R117",232
"C840S14R118",260
"C840S14R119",287
"C840S14R120",287
"C840S14R121",287
"C840S14R122",287
"C840S14R123",231
"C840S14R124",233
"C840S14R125",232
"C840S14R126",287
"C840S14R127",204
"C840S14R128",232
"C840S14R129",261
"C840S14R130",261
